key;result
6d47946082484afdaf4340b1cbb611aa;{"time": "2018-12-06T13:01:54.185894", "fingerprints": ["06cbc3eb4579d5a3db6199f59ba094bd4110adac", "06cbc3eb4579d5a3db6199f59ba094bd4110adac", "06cbc3eb4579d5a3db6199f59ba094bd4110adac", "06cbc3eb4579d5a3db6199f59ba094bd4110adac", "06cbc3eb4579d5a3db6199f59ba094bd4110adac"], "cookie_id": "96f436bf85b340d1976285d85167515b"}
cedbfea25a304f93ab0fe5dbc1f38497;{"time": "2018-12-06T13:02:09.139370", "fingerprints": ["78916679b40343041ffa2becaa8923379bc41591", "78916679b40343041ffa2becaa8923379bc41591", "78916679b40343041ffa2becaa8923379bc41591", "78916679b40343041ffa2becaa8923379bc41591", "78916679b40343041ffa2becaa8923379bc41591"], "cookie_id": "de969b02ab5f433ebe89a9bf171bff25"}
91f468d4c7f64f8ca6cf1e5851766603;{"time": "2018-12-06T13:01:27.627451", "fingerprints": ["eba1385f6086de3dc61c9c1fdd26728d5cbde446", "eba1385f6086de3dc61c9c1fdd26728d5cbde446", "eba1385f6086de3dc61c9c1fdd26728d5cbde446", "eba1385f6086de3dc61c9c1fdd26728d5cbde446", "eba1385f6086de3dc61c9c1fdd26728d5cbde446"], "cookie_id": "46cc3625e0244f539c59bce8dba92484"}
1624af700a0a463086265bd68779948b;{"time": "2018-12-06T13:01:08.842057", "fingerprints": ["58dba35cc52700babc701fcdd064693cea7b5fca", "58dba35cc52700babc701fcdd064693cea7b5fca", "58dba35cc52700babc701fcdd064693cea7b5fca", "58dba35cc52700babc701fcdd064693cea7b5fca", "58dba35cc52700babc701fcdd064693cea7b5fca"], "cookie_id": "7546b5c6aadb4e63a8a3d135b6700abb"}
ef2b203f6eef4664b94209c1f2579bec;{"time": "2018-12-06T13:01:29.828088", "fingerprints": ["aec2c96bfa44eae0d94ad2e479191c037844a22e", "aec2c96bfa44eae0d94ad2e479191c037844a22e", "aec2c96bfa44eae0d94ad2e479191c037844a22e", "aec2c96bfa44eae0d94ad2e479191c037844a22e", "aec2c96bfa44eae0d94ad2e479191c037844a22e"], "cookie_id": "f65b8d2f44d1436d800d08f59f22f56f"}
b3b2fcc3d0684d58bc2c7d487068231d;{"time": "2018-12-06T13:00:46.482694", "fingerprints": ["58dba35cc52700babc701fcdd064693cea7b5fca", "58dba35cc52700babc701fcdd064693cea7b5fca", "58dba35cc52700babc701fcdd064693cea7b5fca", "58dba35cc52700babc701fcdd064693cea7b5fca", "58dba35cc52700babc701fcdd064693cea7b5fca"], "cookie_id": "7546b5c6aadb4e63a8a3d135b6700abb"}
d977acece060411090e8d0d9aa91c28a;{"time": "2018-12-06T13:01:03.303464", "fingerprints": ["0523150e654494445f912de1406ee07f7adc92fb", "0523150e654494445f912de1406ee07f7adc92fb", "0523150e654494445f912de1406ee07f7adc92fb", "0523150e654494445f912de1406ee07f7adc92fb", "0523150e654494445f912de1406ee07f7adc92fb"], "cookie_id": "e55302537b4e416f989eb811a1fd70d5"}
c04ecc8630a241ac9c76078531a1bee5;{"time": "2018-12-06T13:01:05.447420", "fingerprints": ["5303bb4aa99b0563e2f904dd520dcb120c6e737d", "5303bb4aa99b0563e2f904dd520dcb120c6e737d", "5303bb4aa99b0563e2f904dd520dcb120c6e737d", "5303bb4aa99b0563e2f904dd520dcb120c6e737d", "5303bb4aa99b0563e2f904dd520dcb120c6e737d"], "cookie_id": "f1c4956254e74f94b94cf40d1b616cf2"}
110acd4159e24238bfbbbd1daed63e1e;{"time": "2018-12-06T13:02:03.970645", "fingerprints": ["b19569aa390c08844e458c971ce63900bce39cec", "b19569aa390c08844e458c971ce63900bce39cec", "b19569aa390c08844e458c971ce63900bce39cec", "b19569aa390c08844e458c971ce63900bce39cec", "b19569aa390c08844e458c971ce63900bce39cec"], "cookie_id": "0f548f3377c44caf92419453de64c4c6"}
29b397de26a8467aa7fcacb4edfbc462;{"time": "2018-12-06T12:59:46.983297", "fingerprints": ["d2cfa5eb85a9f1bad49038370f7d6e1c39360dca", "d2cfa5eb85a9f1bad49038370f7d6e1c39360dca", "d2cfa5eb85a9f1bad49038370f7d6e1c39360dca", "d2cfa5eb85a9f1bad49038370f7d6e1c39360dca", "d2cfa5eb85a9f1bad49038370f7d6e1c39360dca"], "cookie_id": "3097455a7a674aacaab4bfde6c936634"}
